cp,asentamiento,municipio
90000,Tlaxcala Centro,Tlaxcala
90000,Huertas de San Francisco,Tlaxcala
90006,Universidad Autónoma de Tlaxcala,Tlaxcala
90010,San Buenaventura Atempan,Tlaxcala
90013,Xicohténcatl,Tlaxcala
90014,Vista Malintzi,Tlaxcala
90014,El Bosque,Tlaxcala
90014,Los Potrillos,Tlaxcala
90014,Vista Hermosa,Tlaxcala
90014,Los Causes,Tlaxcala
90014,Magisterial Vista Hermosa,Tlaxcala
90014,Cuarto Señorío,Tlaxcala
90014,Los Volcanes,Tlaxcala
90019,Los Pinos,Tlaxcala
90020,Pensionados Militares,Tlaxcala
90030,Felipe Santiago Xicoténcatl,Tlaxcala
90030,Los Volcanes,Tlaxcala
90030,Las Ánimas,Tlaxcala
90030,Paso de Cortés,Tlaxcala
90030,Cuarto Señoríos,Tlaxcala
90030,Real del Sol,Tlaxcala
90030,Lomas de Coyotepec,Tlaxcala
90030,Las Ánimas,Tlaxcala
90030,Ameyal,Tlaxcala
90030,Residencial Jardines de San Gabriel,Tlaxcala
90030,Villa de los Ángeles,Tlaxcala
90030,Los Girasoles,Tlaxcala
90030,Los Pinos,Tlaxcala
90030,El Real,Tlaxcala
90040,Adolfo López Mateos,Tlaxcala
90050,Ocotlán INFONAVIT,Tlaxcala
90060,San Isidro,Tlaxcala
90062,Xicohténcatl,Tlaxcala
90062,Tlapala,Tlaxcala
90090,Loma Bonita,Tlaxcala
90099,Loma Linda,Tlaxcala
90100,El Mirador,Tlaxcala
90100,Ocotlán,Tlaxcala
90100,Rinconada de Ocotlán,Tlaxcala
90100,San Esteban Tizatlán,Tlaxcala
90100,Las Rosas,Tlaxcala
90100,El Potrero,Tlaxcala
90102,El Sabinal,Tlaxcala
90102,La Cañada,Tlaxcala
90102,San Lucas,Tlaxcala
90102,Las Rosas,Tlaxcala
90102,Mirasol,Tlaxcala
90105,San Lazaro,Tlaxcala
90105,Santa María Ixtulco,Tlaxcala
90105,Tepetlapa,Tlaxcala
90110,Tlayecac,Tlaxcala
90110,San Diego Metepec,Tlaxcala
90110,San Lucas Cuauhtelulpan,Tlaxcala
90110,Santa María Acuitlapilco,Tlaxcala
90110,Balcón de las Ánimas,Tlaxcala
90110,Colinas del Sur,Tlaxcala
90110,Insurgentes,Tlaxcala
90110,San Diego,Tlaxcala
90110,Geo Villas San Diego,Tlaxcala
90110,Xilotzingo,Tlaxcala
90110,Guadalupe,Tlaxcala
90110,Grande,Tlaxcala
90110,El Alto,Tlaxcala
90110,Zapotla,Tlaxcala
90110,Los Pirules,Tlaxcala
90111,San Sebastián Atlahapa,Tlaxcala
90112,San Hipolito Chimalpa,Tlaxcala
90114,La Joya,Tlaxcala
90114,Lomas de Guadalupe,Tlaxcala
90114,Amapotla,Tlaxcala
90114,El Tejocote,Tlaxcala
90114,UAT,Tlaxcala
90114,La Laguna,Tlaxcala
90114,El Rincón o Los Rosales,Tlaxcala
90114,Miraflores,Tlaxcala
90114,Tlacomulco,Tlaxcala
90114,Santa Agueda,Tlaxcala
90114,La Vista,Tlaxcala
90114,La Herradura,Tlaxcala
90114,El Cortijo,Tlaxcala
90114,El Fresno,Tlaxcala
90114,El Rocío,Tlaxcala
90115,La Trinidad Tepehitec,Tlaxcala
90115,San Fernando,Tlaxcala
90115,Esmeralda,Tlaxcala
90115,3 Volcanes,Tlaxcala
90115,El Llanito,Tlaxcala
90115,Del Valle,Tlaxcala
90115,Las Arboledas,Tlaxcala
90115,Puesta del Sol,Tlaxcala
90117,San Gabriel Cuauhtla,Tlaxcala
90117,Bugambilias,Tlaxcala
90118,Tlapancalco,Tlaxcala
90120,Santa Cruz El Porvenir,Ixtacuixtla de Mariano Matamoros
90120,Espíritu Santo,Ixtacuixtla de Mariano Matamoros
90120,Villa Mariano Matamoros Centro,Ixtacuixtla de Mariano Matamoros
90120,Barranco,Ixtacuixtla de Mariano Matamoros
90120,Cerro Gordo,Ixtacuixtla de Mariano Matamoros
90120,Chapultepec,Ixtacuixtla de Mariano Matamoros
90120,La Escondida,Ixtacuixtla de Mariano Matamoros
90120,El Calvario,Ixtacuixtla de Mariano Matamoros
90120,San José Buenavista,Ixtacuixtla de Mariano Matamoros
90120,Ejido Santa Justina Ecatepec,Ixtacuixtla de Mariano Matamoros
90120,San José Escandona,Ixtacuixtla de Mariano Matamoros
90120,Capula,Ixtacuixtla de Mariano Matamoros
90121,La Trinidad Tenexyecac,Ixtacuixtla de Mariano Matamoros
90121,Tetlapa,Ixtacuixtla de Mariano Matamoros
90121,Analco,Ixtacuixtla de Mariano Matamoros
90122,San Diego Xocoyucan,Ixtacuixtla de Mariano Matamoros
90123,Santa Justina Ecatepec,Ixtacuixtla de Mariano Matamoros
90124,La Soledad,Ixtacuixtla de Mariano Matamoros
90125,San Antonio Atotonilco,Ixtacuixtla de Mariano Matamoros
90125,Fracción la Virgen,Ixtacuixtla de Mariano Matamoros
90125,Las Rositas,Ixtacuixtla de Mariano Matamoros
90125,Las Torres,Ixtacuixtla de Mariano Matamoros
90125,Miguel Ángel,Ixtacuixtla de Mariano Matamoros
90125,Agustín López,Ixtacuixtla de Mariano Matamoros
90125,Las Huertas,Ixtacuixtla de Mariano Matamoros
90125,La Virgen,Ixtacuixtla de Mariano Matamoros
90125,San Cristóbal,Ixtacuixtla de Mariano Matamoros
90125,Tláloc,Ixtacuixtla de Mariano Matamoros
90126,Santa Inés Tecuexcomac,Ixtacuixtla de Mariano Matamoros
90126,San Isidro,Ixtacuixtla de Mariano Matamoros
90127,San Antonio Tecóac,Ixtacuixtla de Mariano Matamoros
90127,San Antonio Tizostoc,Ixtacuixtla de Mariano Matamoros
90128,Arcos Altos,Ixtacuixtla de Mariano Matamoros
90128,San Gabriel Popocatla,Ixtacuixtla de Mariano Matamoros
90128,Las Moras (Las Moradillas),Ixtacuixtla de Mariano Matamoros
90130,Alpotzonga de Lira y Ortega,Ixtacuixtla de Mariano Matamoros
90130,San Carlos,Ixtacuixtla de Mariano Matamoros
90130,La Suiza,Ixtacuixtla de Mariano Matamoros
90130,Santo Domingo,Ixtacuixtla de Mariano Matamoros
90130,Alpotzonga,Ixtacuixtla de Mariano Matamoros
90131,La Caridad Cuaxonacayo,Ixtacuixtla de Mariano Matamoros
90132,Santa Rosa de Lima,Ixtacuixtla de Mariano Matamoros
90133,San Juan Nepopualco,Ixtacuixtla de Mariano Matamoros
90133,San Miguel la Presa,Ixtacuixtla de Mariano Matamoros
90133,San Cristóbal Oxtotlapango,Ixtacuixtla de Mariano Matamoros
90134,San Marcos Jilotepec,Ixtacuixtla de Mariano Matamoros
90134,Santiago Xochimilco,Ixtacuixtla de Mariano Matamoros
90135,Santa Ana Nopalucan Centro,Santa Ana Nopalucan
90137,De México,Santa Ana Nopalucan
90137,Guadalupe,Santa Ana Nopalucan
90138,Unidad Deportiva,Santa Ana Nopalucan
90138,Nuevo México,Santa Ana Nopalucan
90139,De Puebla,Santa Ana Nopalucan
90139,El Cerrito,Santa Ana Nopalucan
90139,San Ignacio,Santa Ana Nopalucan
90140,San Mateo Huexoyucan,Panotla
90140,San Nicolás Panotla,Panotla
90140,San Tadeo Huiloapan,Panotla
90140,Primero,Panotla
90140,Segundo,Panotla
90140,Tercero,Panotla
90140,Cuarto,Panotla
90140,Quinto,Panotla
90140,Santa Elena,Panotla
90140,Militar,Panotla
90140,Zona Militar,Panotla
90140,La Virgen,Panotla
90145,Santa Cruz Techachalco,Panotla
90147,San Jorge Tezoquipan,Panotla
90150,Emiliano Zapata,Panotla
90150,Las Ánimas,Panotla
90151,San Ambrosio Texantla,Panotla
90152,Jesús Acatitla,Panotla
90155,Santa Catalina Apatlahco,Panotla
90155,San Francisco Temetzontla,Panotla
90160,Acxotla del Río,Totolac
90160,Los Reyes Quiahuixtlán,Totolac
90160,San Juan Totolac,Totolac
90160,San Miguel Tlamahuco,Totolac
90160,Villa Riverena,Totolac
90160,Cerro del Metecatzi,Totolac
90163,Santiago Tepeticpac,Totolac
90163,Lomas del Sol,Totolac
90163,San Marcos I,Totolac
90163,San Marcos II,Totolac
90163,Tepectipac,Totolac
90163,San Marcos Tepeticpac,Totolac
90164,Zaragoza,Totolac
90164,Ejido Totolac,Totolac
90164,Eucaliptos,Totolac
90165,San Francisco Ocotelulco,Totolac
90166,La Trinidad Chimalpa,Totolac
90166,Chamizal,Totolac
90168,La Candelaria Teotlalpan,Totolac
