cp,asentamiento,municipio,zona,precio_envio
90000,Tlaxcala Centro,Tlaxcala,Intermedia,100
90000,Huertas de San Francisco,Tlaxcala,Intermedia,100
90006,Universidad Autónoma de Tlaxcala,Tlaxcala,Intermedia,100
90010,San Buenaventura Atempan,Tlaxcala,Intermedia,100
90013,Xicohténcatl,Tlaxcala,Intermedia,100
90014,Vista Malintzi,Tlaxcala,Intermedia,100
90014,El Bosque,Tlaxcala,Intermedia,100
90014,Los Potrillos,Tlaxcala,Intermedia,100
90014,Vista Hermosa,Tlaxcala,Intermedia,100
90014,Los Causes,Tlaxcala,Intermedia,100
90014,Magisterial Vista Hermosa,Tlaxcala,Intermedia,100
90014,Cuarto Señorío,Tlaxcala,Intermedia,100
90014,Los Volcanes,Tlaxcala,Intermedia,100
90019,Los Pinos,Tlaxcala,Intermedia,100
90020,Pensionados Militares,Tlaxcala,Intermedia,100
90030,Felipe Santiago Xicoténcatl,Tlaxcala,Intermedia,100
90030,Los Volcanes,Tlaxcala,Intermedia,100
90030,Las Ánimas,Tlaxcala,Intermedia,100
90030,Paso de Cortés,Tlaxcala,Intermedia,100
90030,Cuarto Señoríos,Tlaxcala,Intermedia,100
90030,Real del Sol,Tlaxcala,Intermedia,100
90030,Lomas de Coyotepec,Tlaxcala,Intermedia,100
90030,Las Ánimas,Tlaxcala,Intermedia,100
90030,Ameyal,Tlaxcala,Intermedia,100
90030,Residencial Jardines de San Gabriel,Tlaxcala,Intermedia,100
90030,Villa de los Ángeles,Tlaxcala,Intermedia,100
90030,Los Girasoles,Tlaxcala,Intermedia,100
90030,Los Pinos,Tlaxcala,Intermedia,100
90030,El Real,Tlaxcala,Intermedia,100
90040,Adolfo López Mateos,Tlaxcala,Intermedia,100
90050,Ocotlán INFONAVIT,Tlaxcala,Intermedia,100
90060,San Isidro,Tlaxcala,Intermedia,100
90062,Xicohténcatl,Tlaxcala,Intermedia,100
90062,Tlapala,Tlaxcala,Intermedia,100
90090,Loma Bonita,Tlaxcala,Intermedia,100
90099,Loma Linda,Tlaxcala,Intermedia,100
90100,El Mirador,Tlaxcala,Intermedia,100
90100,Ocotlán,Tlaxcala,Intermedia,100
90100,Rinconada de Ocotlán,Tlaxcala,Intermedia,100
90100,San Esteban Tizatlán,Tlaxcala,Intermedia,100
90100,Las Rosas,Tlaxcala,Intermedia,100
90100,El Potrero,Tlaxcala,Intermedia,100
90102,El Sabinal,Tlaxcala,Intermedia,100
90102,La Cañada,Tlaxcala,Intermedia,100
90102,San Lucas,Tlaxcala,Intermedia,100
90102,Las Rosas,Tlaxcala,Intermedia,100
90102,Mirasol,Tlaxcala,Intermedia,100
90105,San Lazaro,Tlaxcala,Intermedia,100
90105,Santa María Ixtulco,Tlaxcala,Intermedia,100
90105,Tepetlapa,Tlaxcala,Intermedia,100
90110,Tlayecac,Tlaxcala,Intermedia,100
90110,San Diego Metepec,Tlaxcala,Intermedia,100
90110,San Lucas Cuauhtelulpan,Tlaxcala,Intermedia,100
